Freq,time,motorpath,angle
4.00, 13.51, -121, 3.14
4.00, 13.54, -139, 3.13
4.00, 13.57, -155, 3.14
4.00, 13.60, -168, 3.14
4.00, 13.63, -180, 3.14
4.00, 13.66, -189, 3.14
4.00, 13.69, -195, 3.14
4.00, 13.72, -199, 3.14
4.00, 13.75, -200, 3.14
4.00, 13.77, -199, 3.14
4.00, 13.81, -195, 3.14
4.00, 13.83, -188, 3.14
4.00, 13.86, -179, 3.14
4.00, 13.89, -167, 3.14
4.00, 13.92, -153, 3.14
4.00, 13.95, -137, 3.14
4.00, 13.98, -119, 3.14
4.00, 14.01, -99, 3.14
4.00, 14.04, -79, 3.14
4.00, 14.06, -58, 3.14
4.00, 14.09, -36, 3.14
4.00, 14.12, -14, 3.13
4.00, 14.15, 9, 3.14
4.00, 14.18, 30, 3.13
4.00, 14.20, 50, 3.13
4.00, 14.23, 71, 3.13
4.00, 14.26, 91, 3.13
4.00, 14.28, 110, 3.13
4.00, 14.31, 128, 3.12
4.00, 14.34, 145, 3.12
4.00, 14.37, 159, 3.12
4.00, 14.40, 171, 3.12
4.00, 14.42, 182, 3.12
4.00, 14.45, 190, 3.12
4.00, 14.48, 196, 3.12
4.00, 14.51, 199, 3.12
4.00, 14.53, 199, 3.12
4.00, 14.56, 198, 3.12
4.00, 14.59, 193, 3.12
4.00, 14.62, 187, 3.12
4.00, 14.65, 178, 3.12
4.00, 14.68, 166, 3.12
4.00, 14.70, 153, 3.12
4.00, 14.73, 138, 3.12
4.00, 14.76, 121, 3.12
4.00, 14.79, 102, 3.12
4.00, 14.82, 81, 3.12
4.00, 14.84, 62, 3.12
4.00, 14.87, 40, 3.12
4.00, 14.90, 19, 3.12
4.00, 14.92, -2, 3.13
4.00, 14.95, -24, 3.13
4.00, 14.98, -46, 3.13
4.00, 15.01, -68, 3.13
4.00, 15.04, -88, 3.13
4.00, 15.06, -108, 3.13
4.00, 15.09, -127, 3.14
4.00, 15.12, -144, 3.14
4.00, 15.15, -159, 3.14
4.00, 15.18, -172, 3.14
4.00, 15.21, -183, 3.14
4.00, 15.24, -191, 3.14
4.00, 15.27, -197, 3.14
4.00, 15.30, -200, 3.14
4.00, 15.33, -200, 3.14
4.00, 15.35, -198, 3.14
4.00, 15.38, -193, 3.14
4.00, 15.41, -185, 3.14
4.00, 15.44, -175, 3.14
4.00, 15.47, -162, 3.14
4.00, 15.50, -148, 3.14
4.00, 15.53, -132, 3.14
4.00, 15.56, -113, 3.14
4.00, 15.59, -93, 3.14
4.00, 15.62, -72, 3.14
4.00, 15.64, -51, 3.14
4.00, 15.67, -28, 3.14
4.00, 15.70, -7, 3.13
4.00, 15.73, 15, 3.13
4.00, 15.76, 37, 3.13
4.00, 15.78, 57, 3.13
4.00, 15.81, 78, 3.13
4.00, 15.84, 98, 3.13
4.00, 15.86, 115, 3.12
4.00, 15.89, 133, 3.13
4.00, 15.92, 149, 3.12
4.00, 15.95, 163, 3.12
4.00, 15.98, 175, 3.12
4.00, 16.00, 185, 3.12
4.00, 16.03, 192, 3.12
4.00, 16.06, 197, 3.12
4.00, 16.09, 199, 3.12
4.00, 16.11, 199, 3.12
4.00, 16.14, 197, 3.12
4.00, 16.17, 191, 3.12
4.00, 16.20, 184, 3.12
4.00, 16.23, 174, 3.12
4.00, 16.26, 162, 3.12
4.00, 16.28, 148, 3.12
4.00, 16.31, 132, 3.12
4.00, 16.34, 115, 3.12
4.00, 16.37, 96, 3.12
4.00, 16.39, 76, 3.12
4.00, 16.42, 56, 3.12
4.00, 16.45, 35, 3.12
4.00, 16.48, 13, 3.12
4.00, 16.50, -8, 3.13
4.00, 16.53, -30, 3.13
4.00, 16.56, -52, 3.13
4.00, 16.59, -73, 3.13
4.00, 16.61, -94, 3.13
4.00, 16.64, -113, 3.13
4.00, 16.67, -132, 3.13
4.00, 16.70, -148, 3.14
4.00, 16.73, -163, 3.14
4.00, 16.76, -175, 3.14
4.00, 16.79, -185, 3.14
4.00, 16.82, -193, 3.14
4.00, 16.85, -198, 3.14
4.00, 16.88, -200, 3.14
4.00, 16.90, -200, 3.14
4.00, 16.93, -197, 3.14
4.00, 16.96, -191, 3.14
4.00, 16.99, -183, 3.14
4.00, 17.02, -172, 3.14
4.00, 17.05, -159, 3.14
4.00, 17.08, -143, 3.14
4.00, 17.11, -127, 3.14
4.00, 17.14, -107, 3.14
4.00, 17.17, -87, 3.14
4.00, 17.19, -66, 3.14
4.00, 17.22, -45, 3.13
4.00, 17.25, -23, 3.14
4.00, 17.28, 0, 3.13
4.00, 17.30, 20, 3.14
4.00, 17.33, 43, 3.13
4.00, 17.36, 63, 3.13
4.00, 17.39, 83, 3.13
4.00, 17.41, 102, 3.13
4.00, 17.44, 120, 3.12
4.00, 17.47, 138, 3.12
4.00, 17.50, 153, 3.12
4.00, 17.52, 166, 3.12
4.00, 17.55, 178, 3.12
4.00, 17.58, 187, 3.12
4.00, 17.61, 193, 3.12
4.00, 17.64, 198, 3.12
4.00, 17.67, 199, 3.12
4.00, 17.69, 199, 3.12
4.00, 17.72, 195, 3.12
4.00, 17.75, 189, 3.12
4.00, 17.78, 182, 3.12
4.00, 17.81, 171, 3.12
4.00, 17.83, 158, 3.12
4.00, 17.86, 144, 3.12
4.00, 17.89, 127, 3.12
4.00, 17.92, 110, 3.12
4.00, 17.95, 90, 3.12
4.00, 17.97, 70, 3.12
4.00, 18.00, 49, 3.12
4.00, 18.03, 28, 3.12
4.00, 18.05, 7, 3.12
4.00, 18.08, -14, 3.13
4.00, 18.11, -36, 3.13
4.00, 18.14, -59, 3.13
4.00, 18.17, -79, 3.13
4.00, 18.19, -99, 3.13
4.00, 18.22, -119, 3.13
4.00, 18.25, -136, 3.14
4.00, 18.28, -153, 3.14
4.00, 18.31, -167, 3.14
4.00, 18.34, -178, 3.14
4.00, 18.37, -188, 3.14
4.00, 18.40, -195, 3.14
4.00, 18.42, -199, 3.14
4.00, 18.45, -200, 3.14
4.00, 18.48, -199, 3.14
4.00, 18.51, -196, 3.14
4.00, 18.54, -189, 3.14
4.00, 18.57, -180, 3.14
4.00, 18.60, -169, 3.14
4.00, 18.63, -155, 3.14
4.00, 18.66, -139, 3.14
4.00, 18.69, -121, 3.14
4.00, 18.72, -102, 3.14
4.00, 18.75, -81, 3.14
4.00, 18.77, -60, 3.14
4.00, 18.80, -38, 3.14
4.00, 18.83, -16, 3.13
4.00, 18.86, 5, 3.13
4.00, 18.88, 27, 3.13
4.00, 18.91, 48, 3.13
4.00, 18.94, 69, 3.13
4.00, 18.96, 89, 3.13
4.00, 18.99, 107, 3.13
4.00, 19.02, 126, 3.12
4.00, 19.05, 142, 3.12
4.00, 19.08, 157, 3.12
4.00, 19.10, 170, 3.12
4.00, 19.13, 181, 3.12
4.00, 19.16, 189, 3.12
4.00, 19.19, 195, 3.12
4.00, 19.22, 198, 3.12
4.00, 19.25, 199, 3.12
4.00, 19.27, 198, 3.12
4.00, 19.30, 194, 3.12
4.00, 19.33, 187, 3.12
4.00, 19.36, 179, 3.12
4.00, 19.38, 168, 3.12
4.00, 19.41, 154, 3.12
4.00, 19.44, 140, 3.12
4.00, 19.47, 122, 3.12
4.00, 19.50, 104, 3.12
4.00, 19.52, 85, 3.12
4.00, 19.55, 64, 3.12
4.00, 19.58, 44, 3.12
4.00, 19.61, 22, 3.12
4.00, 19.63, 0, 3.12
4.00, 19.66, -20, 3.13
4.00, 19.69, -43, 3.13
4.00, 19.72, -64, 3.13
4.00, 19.74, -85, 3.13
4.00, 19.77, -105, 3.13
4.00, 19.80, -124, 3.14
4.00, 19.83, -141, 3.14
4.00, 19.86, -157, 3.14
4.00, 19.89, -171, 3.14
4.00, 19.92, -181, 3.14
4.00, 19.95, -190, 3.14
4.00, 19.98, -196, 3.14
4.00, 20.00, -200, 3.14
4.00, 20.03, -200, 3.14
4.00, 20.06, -198, 3.14
4.00, 20.09, -194, 3.14
4.00, 20.12, -187, 3.14
4.00, 20.15, -177, 3.14
4.00, 20.18, -165, 3.14
4.00, 20.21, -150, 3.14
4.00, 20.24, -134, 3.14
4.00, 20.27, -115, 3.14
4.00, 20.30, -96, 3.14
4.00, 20.32, -76, 3.14
4.00, 20.35, -54, 3.14
4.00, 20.38, -33, 3.13
4.00, 20.41, -10, 3.13
4.00, 20.44, 12, 3.13
4.00, 20.46, 34, 3.13
4.00, 20.49, 55, 3.13
4.00, 20.52, 75, 3.13
4.00, 20.54, 95, 3.13
4.00, 20.57, 114, 3.13
4.00, 20.60, 131, 3.12
4.00, 20.63, 147, 3.12
4.00, 20.66, 161, 3.12
4.00, 20.68, 173, 3.12
4.00, 20.71, 183, 3.12
4.00, 20.74, 191, 3.12
4.00, 20.77, 196, 3.12
4.00, 20.80, 199, 3.12
4.00, 20.82, 199, 3.12
4.00, 20.85, 197, 3.12
4.00, 20.88, 192, 3.12
4.00, 20.91, 185, 3.12
4.00, 20.94, 175, 3.12
4.00, 20.96, 164, 3.12
4.00, 20.99, 149, 3.12
4.00, 21.02, 134, 3.12
4.00, 21.05, 117, 3.12
4.00, 21.08, 97, 3.12
4.00, 21.10, 79, 3.12
4.00, 21.13, 58, 3.12
4.00, 21.16, 37, 3.12
4.00, 21.18, 16, 3.12
4.00, 21.21, -6, 3.13
4.00, 21.24, -27, 3.13
4.00, 21.27, -50, 3.13
4.00, 21.30, -71, 3.13
4.00, 21.32, -91, 3.13
4.00, 21.35, -111, 3.14
4.00, 21.38, -129, 3.14
4.00, 21.41, -146, 3.14
4.00, 21.44, -161, 3.14
4.00, 21.47, -174, 3.14
4.00, 21.50, -184, 3.14
4.00, 21.53, -192, 3.14
4.00, 21.56, -198, 3.14
4.00, 21.58, -200, 3.14
4.00, 21.61, -200, 3.14
4.00, 21.64, -197, 3.14
4.00, 21.67, -192, 3.14
4.00, 21.70, -184, 3.14
4.00, 21.73, -173, 3.14
4.00, 21.76, -160, 3.14
4.00, 21.79, -146, 3.14
4.00, 21.82, -128, 3.14
4.00, 21.85, -110, 3.14
4.00, 21.88, -89, 3.14
4.00, 21.90, -69, 3.14
4.00, 21.93, -47, 3.14
4.00, 21.96, -25, 3.13
4.00, 21.99, -3, 3.13
4.00, 22.02, 19, 3.13
4.00, 22.04, 40, 3.13
4.00, 22.07, 62, 3.13
4.00, 22.10, 81, 3.13
4.00, 22.12, 100, 3.13
4.00, 22.15, 119, 3.13
4.00, 22.18, 136, 3.12
4.00, 22.21, 152, 3.12
4.00, 22.24, 166, 3.12
4.00, 22.26, 177, 3.12
4.00, 22.29, 186, 3.12
4.00, 22.32, 193, 3.12
4.00, 22.35, 197, 3.12
4.00, 22.38, 199, 3.12
4.00, 22.40, 199, 3.12
